number,L1t,L1p,Ht,Hp,L2t,L2p,O1t,O1p,N1t,N1p,C1t,C1p,O2t,O2p,N2t,N2p,O3t,O3p,N3t,N3p,C3t,C3p,Et,Ep
cor-mun-415,2821,216.5,3015,265.34,3184,201.1,2637,222.98,2799,222.97,2876,236.54,2945,263.17,3010,266.35,3099,229.7,3166,205.68,3213,202.24,3317,196.32
cor-mun-417,2571,221.1,2681,258.12,2856,195.07,2427,212.93,2540,219.01,2639,243.6,2708,251.42,2762,251.82,2841,199.53,2886,116.33,2937,262.94,3017,299.16
cor-mun-419,2358,242.31,2520,274.55,2732,194.19,2264,235.34,2379,260.7,2482,262.77,2567,260.14,2634,254.58,2700,206.36,2749,186.73,2797,184.79,2886,261.71
cor-mun-423,2740,210.88,2927,271.51,3161,192.81,2630,209.31,2765,211.82,2897,266.81,2951,267.26,2988,257.81,3094,211.05,3152,192.8,3210,260.02,3355,218.76
cor-mun-425,3253,207.8,3431,266.6,3734,168.94,3207,220.83,3276,212.2,3361,237.1,3442,265.21,3514,252.62,3636,185.14,3690,175.93,3748,167.94,3844,158.6
cor-mun-427,3044,226.63,3229,302.41,3378,207.23,2903,243.63,3140,273.36,3259,294.79,3324,247.44,3380,204.56,3476,97.51,3532,97.17,3583,188.36,3683,163.1066667
cor-mun-429,2906,243.93,3015,261.53,3186,214.02,2828,252.57,2909,245.76,3021,262.17,3083,247.66,3137,227.33,3224,107.98,3249,137.77,3281,234.77,3356,236.51
cor-mun-433,2480,240.91,2697,427.97,2861,209.93,2386,241.14,2544,285.27,2627,355.93,2708,423.1,2761,361.05,2844,226.88,2881,235.36,2928,257.84,3022,242.72
cor-mun-435,3018,231.17,3099,256.56,3233,209.5,2905,253.95,2948,235.32,3041,241.11,3106,256.68,3147,252.9,3260,100.16,3295,98.13,3349,95.54,3520,123.63
cor-mun-437,3517,219.69,3662,247.85,3978,174.89,3473,246.75,3517,219.67,3596,229.95,3668,247.41,3747,236.99,3858,200.18,3902,192,3990,176.04,4150,176.06
cor-mun-439,2877,241.47,3037,274.34,3262,209.13,2839,238.84,2936,256.8,3027,272.75,3115,266.49,3168,249.98,3231,220.15,3288,208.03,3372,211.71,3504,215.87
cor-mun-441,3186,241.85,3255,252.66,3456,186.68,3048,250.53,3101,240.12,3188,242.14,3262,251.61,3323,231.93,3450,188.1,3502,170.95,3571,165.97,3733,188.88
cor-mun-445,2915,225.71,3091,271.47,3259,186,2891,228.95,2965,245.48,3047,259.14,3120,269.16,3179,246.58,3275,181.18,3337,174.4,3437,89.12,3539,100.496
cor-man-n1,2570,159.58,2853,137.55,3135,89.27,2570,160.09,2672,113.44,2841,137.78,2929,115.44,2982,104.5,3099,93.51,3145,86.73,3231,75.89,3356,69.61
cor-man-n10,1782,206.795,1899.5,210.765,2114.5,177.995,1458,204.05,1571,206.82,1728,202.67,1836,199.54,1939,217.39,2038,184.78,2090,183.09,2174,175.19,2308,185.28
cor-man-n11,1320,133.41,1484,154.75,1641,109.89,1291,131.94,1370,139.22,1512,151.1,1556,138.48,1604,122.27,1662,105.72,1730,89.2,1799,109.19,1956,114.84
cor-man-n12,1626,133.3,1797,172.57,1913,105.67,1581,142.6,1662,141.26,1790,171.28,1843,159.85,1892,128.62,1966,91.44,2033,87.63,2122,89.46,2292,88.45
cor-man-n13,3163,107.63,3250,111.11,3303,97.9,3028,104.49,3121,110.34,3238,110.26,3302,97.81,3346,103.35,3433,112.46,3482,117.64,3522,121.8,3640,113.32
cor-man-n14,1832,126.83,1970,152.15,2136,109.47,1643,133.2,1763,134.53,1836,126.2,1901,130.29,1969,152.25,2138,109.11,2222,89.29,2312,125.38,2462,107.57
cor-man-n15,1280,195.54,1398,222.85,1463,205.72,1142,209.92,1229,200.48,1350,209.8,1407,221.86,1454,208.21,1540,101.44,1586,98.03,1671,101.69,1783,107.42
cor-man-n16,1781,211.09,1908,218.89,2223,178.07,1599,215.7,1732,211.78,1890,216.58,1958,209.16,2009,201.15,2121,185.19,2177,182.45,2250,89.26,2409,81.67
cor-man-n2,2196,200.75,2400,238.06,2593,161.16,2176,195.65,2260,218.61,2418,235.23,2472,205.97,2517,177.22,2609,160.67,2661,154.94,2726,142.7,2851,89.15
cor-man-n3,2855,131.32,3016,162.89,3272,92.83,2805,146.41,2879,132.27,3029,160.13,3069,142.24,3100,122.09,3182,105.66,3228,99.33,3290,87.47,3486,127.23
cor-man-n4,1584,187.11,1671,191.81,1854,168.2,1515,181.53,1616,191.18,1789,186.53,1851,170.1,1883,170.37,1963,160.81,2014,158.46,2091,156.26,2214,158.17
cor-man-n5,1630,111.09,1679,117.53,1850,102.85,1549,108.02,1657,118.02,1790,111.97,1844,102.5,1884,104.93,1934,107.71,1979,110.2,2029,112.97,2115,113.82
cor-man-n6,1588,79.8,1690,81.48,1822,77.87,1520,80.37,1623,83.06,1781,76.07,1831,77.77,1872,77.53,1989,76.83,2053,76.45,2141,75.92,2329,79.72
cor-man-n7,1312,82.96,1392,87.77,1500,79.37,1215,86.7,1310,83.16,1415,84.3,1475,81.98,1516,88.49,1583,80.5,1634,81.49,1731,76.73,1902,87.31
cor-man-n8,1170,132.11,1279,149.82,1479,91.17,1137,139.34,1212,138.69,1309,143.72,1344,133.87,1377,118.63,1424,105.12,1451,100.23,1492,90.58,1601,107.4
cor-man-n9,2053.5,217.53,2172.5,229.205,2356,201.745,1603,226.57,1726,220.81,1864,212.1,1920,211.66,1970,214.55,2058,203.84,2113,212.52,2178,274.28,2419,116.5
cor-mem-n1,2544,98.66,2761,137.07,3218,64,2523,98.91,2656,133.13,2770,139.59,2835,125.34,2903,123.8,3014,95.02,3081,86.9,3166,80,3270,75.91
cor-mem-n10,2029,199.69,2178,205.88,2426,173.6,1914,194.53,2059,207.71,2157,203.56,2233,196.58,2281,206.23,2352,181.5,2404,175.43,2473,173.88,2599,181.9
cor-mem-n11,1857,133.04,2013,164.75,2140,114.45,1762,161.66,1888,140.48,1981,157.94,2062,150.09,2115,120.21,2244,102.28,2313,101.01,2397,90.84,2607,121.72
cor-mem-n12,2176,114.87,2297,137.4,2477,92.12,2108,99.37,2182,110.45,2257,128.26,2315,137.03,2370,124.53,2467,93.33,2530,87.91,2602,84.47,2747,75.03
cor-mem-n13,3148,108.995,3213.5,111.5,3308.5,98.665,3035.5,122.375,3108,110.86,3239.5,107.84,3301.5,99.2,3354,104.44,3444,110.305,3493,117.945,3532,120.905,3640.5,116.775
cor-mem-n14,2658,129.95,2747,137.48,2861,97.52,2421,170.47,2557,142.95,2658,129.96,2732,136.29,2816,114.72,2969,103.43,3049,87.83,3095,94.93,3280,106.2616667
cor-mem-n15,1470,219.24,1551,237.14,1768,194.94,1325,215.92,1431,220.38,1517,228.85,1602,229.37,1677,213.2,1781,193.11,1837,101.07,1922,185.73,2069,214.26
cor-mem-n16,1704,226.37,1855,245.47,2112,187.89,1665,222.28,1772,241.32,1884,245.99,1957,230.42,2024,211.35,2106,188.81,2167,92.5,2234,102.29,2338,106.94
cor-mem-n2,2384.666667,182.9733333,2533,230.41,2726.666667,158.24,2935,253.89,3010,227.92,3102,207.38,3162,191.87,3219,170.16,3310,76.77,3363,79.05,3439,85.7,3575,84.26
cor-mem-n3,2172,126.33,2299,175,2518,94.06,2127,130.21,2197,135.73,2280,177.78,2339,151.89,2384,129.21,2474,104.02,2511,95.01,2562,88.17,2674,93.13
cor-mem-n4,1611,185.18,1707,188.95,1875,161.7,1500,176.58,1612,184.81,1690,185.12,1777,167.01,1833,177.76,1923,159.1,1976,158.16,2025,155.63,2151,167.26
cor-mem-n5,2268,111.5633333,2348.666667,117.4566667,2473,103.6533333,1787,120.02,1819,124.37,1894,113.03,2007,99.7,2084,471.38,2166,225.89,2201,116.35,2263,78.02,2340,71.09
cor-mem-n6,1619,79.43,1721,87.88,1826,78.09,1502,77.45,1654,85.6,1743,84.69,1806,80.97,1859,77.84,1971,76.96,2031,76.48,2116,75.82,2274,74.12
cor-mem-n7,1354,85.83,1428,90.83,1513,83.1,1237,84.55,1321,85.77,1413,89.46,1488,85.39,1539,85.51,1613,81.14,1674,80.66,1747,80.25,1875,75.92
cor-mem-n8,1281,133.79,1406,166.14,1618,82.08,1234,136.17,1308,142.89,1373,158.95,1435,153.14,1486,123.9,1544,105.67,1594,90.22,1635,80.43,1767,110.07
cor-mem-n9,1699,216.75,1816,225.74,2083,191.9,1704,217.07,1820,226.32,1906,217.49,1971,215.21,2022,214.84,2125,95.6,2177,87.5,2231,83.88,2438,112.09
cor-mom-n1,2557,129.12,2807,137.31,3176.5,76.635,2546.5,129.5,2664,123.285,2805.5,138.685,2882,120.39,2942.5,114.15,3056.5,94.265,3113,86.815,3198.5,75.89,3313,72.76
cor-mom-n10,1782,206.795,1899.5,210.765,2114.5,177.995,1514,220.42,1609,215.95,1714,207.69,1773,202.56,1827,201.7,1905,181.29,1940,178.05,2009,177.67,2103,189.46
cor-mom-n11,1521,117.22,1688,147.3,1767,125,1447,118.35,1549,123.27,1696,145.84,1756,128.26,1808,107.44,1902,91.38,1963,488.46,2054,283.77,2243,112.53
cor-mom-n12,2730,101.64,2889,132.29,3036,93.98,2678,99.47,2757,107.73,2873,131.47,2935,126.3,2988,111.9,3057,91.16,3111,91.77,3169,86.97,3299,97.46666667
cor-mom-n13,3148,108.995,3213.5,111.5,3308.5,98.665,3035.5,122.375,3108,110.86,3239.5,107.84,3301.5,99.2,3354,104.44,3444,110.305,3493,117.945,3532,120.905,3640.5,116.775
cor-mom-n14,2328.666667,131.06,2431.666667,142.5733333,2562.666667,108.66,2981,194.8,3085,128.24,3163,124.87,3233,127.95,3311,105.49,3394,97.77,3446,118.33,3519,107,3661,110.23
cor-mom-n15,1303,209.1,1433,224.72,1514,200.03,1120,218.95,1250,212.93,1382,220.27,1487,214.89,1541,149.55,1668,101.22,1701,135.04,1779,241.88,1935,160.74
cor-mom-n16,1783,205.93,1886,211.33,2098,184.79,1526,211.55,1679,208.37,1853,209.1,1951,203.08,2034,196.65,2175,183.52,2245,179.48,2315,180.71,2421,187.55
cor-mom-n2,2257,168.58,2334,178.19,2446,169.22,2251,168.99,2408,172.1,2549,163.74,2611,158.57,2652,160.33,2734,154.58,2798,150.2,2879,143.26,3013,146.54
cor-mom-n3,3495,124.76,3649,171,3940,91.29,3395,129.68,3498,126.36,3655,170.9,3710,149.11,3748,132.27,3829,107.97,3879,102.52,3944,90.6,4173,84.38
cor-mom-n4,2054,176.95,2207,181.94,2315,159.33,1928,195.14,2046,179.5,2180,177.88,2242,173.15,2286,163.08,2371,157.02,2409,156.01,2490,155.72,2622,157.66
cor-mom-n5,3373,117.38,3434,116.74,3506,104.54,3283,135.31,3331,118.91,3399,113.8,3468,112.28,3526,105.75,3635,96.76,3667,86,3721,82.13,3806,48.53
cor-mom-n6,1772,82.11,1939,88.18,2219,75.06,1687,85.83,1834,84.26,1951,87.65,2025,81.9,2072,81.32,2180,75.04,2225,75.07,2331,75.14,2526,79.39
cor-mom-n7,1149,87.94,1200,90.18,1403,80.75,1007,86.97,1110,87.37,1222,89.77,1279,87.37,1324,86.52,1421,81.59,1495,79.24,1566,80.14,1782,74.69
cor-mom-n8,1172,162.61,1252,177.14,1493,93.88,1070,170.73,1154,162.13,1254,177.52,1300,157.43,1335,139.56,1399,114.5,1457,102.98,1512,93.04,1612,106.3
cor-mom-n9,2053.5,217.53,2172.5,229.205,2356,201.745,2168,302.77,2283,217.3,2410,208.84,2469,209.28,2520,199.99,2651,184.22,2689,83.6,2767,76.62,2917,241.21
cor-mun-n1,2557,129.12,2807,137.31,3176.5,76.635,2546.5,129.5,2664,123.285,2805.5,138.685,2882,120.39,2942.5,114.15,3056.5,94.265,3113,86.815,3198.5,75.89,3313,72.76
cor-mun-n10,1535,213.9,1621,215.65,1803,182.39,1424,210.23,1551,218.19,1629,215.05,1700,204.61,1734,203.3,1842,179.94,1879,177.61,1921,176.98,2029,188.52
cor-mun-n11,1570,123.52,1728,157.91,1901,102.92,1532,123.22,1641,138.94,1702,152.23,1760,150.19,1804,130.8,1899,83.54,1952,470.45,2019,342.72,2207,167.1566667
cor-mun-n12,2611,104.88,2788,157.9,2985,93.1,2584,132.59,2649,115.13,2740,142.94,2811,153.56,2860,138.1,2981,93.49,3048,88.73,3158,84.19,3304,95.19
cor-mun-n13,3133,110.36,3177,111.89,3314,99.43,3043,140.26,3095,111.38,3241,105.42,3301,100.59,3362,105.53,3455,108.15,3504,118.25,3542,120.01,3641,120.23
cor-mun-n14,2496,136.4,2578,138.09,2691,118.99,2333,167.28,2442,147.78,2490,133.04,2572,138.47,2661,137.82,2846,115.4,2906,98.59,2963,121.05,3082,94.68
cor-mun-n15,1457,216.09,1574,252.25,1667,211.01,1411,212.62,1507,240.17,1560,247.95,1616,241.67,1670,210.86,1758,104.8,1828,97.3,1883,103.19,1982,221.84
cor-mun-n16,1682,206.45,1763,212.64,1961,181.2,1519,205.4,1630,208.63,1732,208.11,1819,205.04,1879,200.74,1979,180.43,2032,175.51,2110,97.92,2210,98.78666667
cor-mun-n2,2701,179.59,2865,274.98,3141,144.34,2569,170.96,2756,225.76,2847,274.36,2905,253.02,2950,222.54,3063,162.17,3104,149.24,3186,142.57,3429,197.59
cor-mun-n3,2357,122.01,2492,184.01,2730,93.28,2311,141.95,2387,136.17,2470,182.45,2527,173.8,2573,137.44,2659,105.76,2714,97.27,2757,89.46,2892,100.33
cor-mun-n4,2079,189.53,2114,195.29,2295,157.29,1905,103.84,2001,198.08,2096,186.72,2155,181.52,2205,176.82,2266,160.92,2304,155.7,2365,102.2,2506,177.49
cor-mun-n5,1801,106.22,1933,118.1,2063,103.57,1651,110.1,1905,118.18,1990,114.2,2049,107.77,2095,117.77,2150,92.13,2189,86.99,2254,79.89,2350,103.96
cor-mun-n6,1806,81.46,1889,85.12,2162,76.6,1688,80.93,1831,84.01,1918,83.45,1986,81.13,2045,77.17,2145,76.69,2203,76.41,2298,75.95,2449,74.74
cor-mun-n7,1406,86.73,1473,92.3,1625,85.43,1253,89.79,1445,91.59,1528,93.57,1601,90.36,1662,83.92,1747,80.77,1784,79.48,1864,76.43,2029,92.26
cor-mun-n8,1639,138.21,1787,173.5,1947,99.21,1554,143.11,1681,148.04,1751,164.8,1804,169.02,1851,137.12,1917,104.77,1949,98.88,1980,94.8,2084,107.89
cor-mun-n9,2408,218.31,2529,232.67,2629,211.59,2376,107.38,2440,225.64,2528,232.09,2588,227.16,2658,212.04,2744,102.71,2773,83.97,2821,75.65,3021,87.21
nar-man-101,2028,211.41,2082,216.73,2282,168.26,1852,237.41,2000,220.72,2110,214.05,2160,210.23,2203,203.07,2260,175.81,2306,167.94,2355,130.67,2471,85.89
nar-man-102,1634,187.04,1775,211.45,1994,144.95,1523,175.37,1618,188.06,1708,197.27,1782,211.3,1844,205.08,1954,157.86,2006,144.44,2083,105.1,2206,83.63
nar-man-103,1592,232.72,1707,245.46,1855,182.15,1439,226.37,1536,238.61,1657,238.31,1695,243.54,1730,238.81,1839,187.94,1878,179.52,1938,173.55,2090,168.97
nar-man-104,2146,263.87,2246,284.91,2391,203.41,2052,271.88,2127,270.43,2213,280.89,2260,284.79,2302,264.36,2370,211,2409,193.12,2452,307.93,2501,347.23
nar-man-105,2053,237.63,2162,261.63,2324,215.14,1958,241.01,2004,241.76,2120,261.33,2171,261.36,2218,261.91,2334,214.28,2373,211.88,2424,262.74,2500,246.9
nar-man-106,2005,189.95,2087,208.55,2204,198.67,1866,187.48,1971,187.65,2067,202.85,2128,202.11,2179,209.38,2280,205.03,2335,216.26,2395,210.45,2487,211.83
nar-man-107,1829,235.37,1939,281.81,2126,202.26,1801,259.22,1862,255.1,1939,281.86,1980,279.3,2019,265.51,2114,207.3,2155,196.72,2229,257.74,2329,219.74
nar-man-109,1544,238.82,1634,259.75,1837,179.56,1452,175.25,1530,232.6,1627,258.6,1677,234.01,1716,231.27,1824,183.15,1896,83.94,1974,109.39,2103,235.72
nar-man-111,1696,216.34,1817,238.87,1986,214.14,1623,214.71,1696,216.3,1762,224.73,1822,238.84,1887,274.31,1972,216.08,2058,210.12,2111,218.76,2182,208.881
nar-man-115,2037,254.08,2282,278.57,2435,226.69,1913,239.86,2069,271,2199,272.11,2279,278.42,2341,273.12,2448,224.94,2487,219.77,2538,231.19,2602,233.74
nar-man-117,1663,166.81,1760,171.86,1934,127.87,1486,157.95,1612,170.03,1724,168.16,1774,171.21,1827,167.05,1908,135.17,1938,124.44,1990,120.86,2084,63.69
nar-man-119,1759,255.46,1890,277.72,2082,224.37,1683,245.99,1776,268.22,1911,271.9,1963,267.38,2001,268.36,2164,211.19,2215,204.05,2294,240.13,2370,234.59
nar-man-121,1632,252.25,1785,278.79,1936,231.56,1605,259.39,1677,269.43,1794,279.8,1829,256.22,1865,267.71,1940,233.54,1975,254.06,2028,230,2078,213.63
nar-man-123,1643,211.92,1730,224.44,1846,184.81,1446,205.1,1568,211.85,1706,219.7,1762,219.49,1797,202.47,1903,180.13,1947,180.28,1994,225.18,2096,238.24
nar-man-125,1962,217.51,2100,255.18,2189,119,1743,216.88,1923,218.62,2020,228.86,2067,240.01,2107,250.59,2195,91.33,2227,84.63,2279,80,2392,72.76
nar-man-127,1736,201.9,1838,223.19,2065,168.16,1567,200.99,1669,201.43,1790,213.53,1856,221.23,1910,213.45,2048,171.12,2107,167.27,2155,237.54,2277,185.91
nar-man-129,1750,244.94,1883,260.25,2144,184.74,1601,231.48,1720,251.23,1818,250.17,1887,260.18,1947,259.75,2056,206.28,2119,191.34,2184,226.52,2310,197.43
nar-man-131,1529,220.9,1645,235.37,1833,185.69,1317,225.23,1456,229.53,1587,229.37,1639,235.04,1692,232.26,1805,190.03,1849,182.51,1927,160,2013,144.2
nar-man-133,2412,223.92,2571,293.4,2840,180.18,2384,244.99,2470,258.61,2580,292.31,2626,261.31,2668,263.25,2767,209.63,2817,188.15,2888,184.5,2974,183
nar-man-135,1671,226.31,1834,258.88,1996,208.45,1623,229.27,1722,241.41,1824,258.16,1873,252.73,1915,249.16,2014,205.96,2064,194.91,2153,176.6,2270,212.68
nar-mem-101,1501,193.57,1578,203.68,1777,171.73,1343,194.59,1482,197.06,1568,202.7,1638,197.11,1698,200.99,1773,172.36,1826,169.11,1894,174.91,1982,167.35
nar-mem-102,1350,190.72,1458,214.74,1670,166.45,1172,188.62,1281,190.48,1410,203.82,1472,213.08,1518,201.57,1645,172.03,1687,166.62,1738,156.82,1906,175.7
nar-mem-103,1374,218.88,1580,250.01,1791,175.12,1334,222.21,1437,239.27,1545,242.21,1597,247.56,1640,240.33,1687,212.59,1723,197.25,1809,86.44,1931,82.83
nar-mem-104,2104,260.42,2192,287.78,2303,216.6,2023,216.73,2084,261.27,2165,280.55,2219,280,2257,278.61,2328,209.46,2356,197.98,2393,123.65,2448,82.41
nar-mem-105,1814,234.24,1964,260.97,2036,220.2,1671,244.38,1746,237.58,1873,255.69,1932,254.79,1984,261.65,2055,218.45,2109,214.15,2171,261.47,2280,244.07
nar-mem-106,1793,191.28,1906,205.14,2087,178.31,1588,227.62,1760,190.39,1871,203.85,1948,196.05,2007,209.54,2183,210.03,2230,97.56,2300,232.94,2395,237.94
nar-mem-107,1325,244.04,1403,278.83,1570,212.23,1153,215.45,1278,240.39,1365,260.71,1430,269.38,1492,270.5,1551,215.68,1583,210.78,1685,246.12,1814,218.93
nar-mem-109,1502,229.14,1643,268.94,1934,146,1427,229.68,1531,237.14,1635,267.99,1707,250.19,1764,234.29,1877,184.51,1927,151.73,2017,116.68,2126,120.9516667
nar-mem-111,1673,220.46,1761,239.97,1857,214.57,1532,218.28,1621,222.95,1743,235.93,1834,227.91,1916,240.86,2023,199.78,2067,204.53,2130,138.1,2218,129.95
nar-mem-115,1860,275.39,2010,296.14,2145,242.54,1705,254.6,1812,275.51,1949,291.98,2016,295.18,2079,281.76,2155,241.11,2196,237.32,2284,214.6,2430,184.52
nar-mem-117,1937,173.87,2084,187.62,2186,152.32,1751,218.63,1846,177.55,1941,175.12,2019,178.55,2091,196.41,2189,152.01,2234,125.67,2294,90.35,2417,42.39
nar-mem-119,2273,277.85,2406,295.35,2594,219.7,2221,293.31,2257,280.43,2346,292.64,2418,294.24,2481,278.54,2657,211.68,2730,204.72,2808,198.55,2928,229.32
nar-mem-121,1987,268.22,2144,292.93,2345,217.41,1952,300.05,2037,287.81,2166,288.46,2216,282.51,2258,271.87,2341,218.41,2382,231.01,2432,248.05,2514,233.93
nar-mem-123,1432,203.28,1530,217.93,1625,185.26,1301,207.47,1390,209,1496,211.37,1559,214.13,1605,192.13,1659,182.87,1689,218.65,1759,229.36,1824,244.28
nar-mem-125,1749,208.11,1867,232.71,2042,174.13,1598,207.54,1692,208.61,1787,211.95,1855,230.68,1912,246.58,1978,186.07,2025,177.01,2091,191.73,2249,207.95
nar-mem-127,1822,205.2366667,1920.333333,221.71,2112.333333,180.09,1657.666667,214.5566667,1751,204.6566667,1865.333333,212.2533333,1938,219.8633333,1997.333333,215.5433333,2144,178.9266667,2200,177.91,2262,212.9166667,2384,211.8666667
nar-mem-129,1843,227.78,2019,259.01,2302,180.07,1728,217.43,1870,239.52,1946,245.64,2023,258.94,2092,248.49,2172,212.34,2241,189.15,2335,216.38,2428,230.78
nar-mem-131,1490,217.71,1580,239.61,1789,188.13,1321,228.75,1449,229.68,1560,235.17,1633,231.12,1689,223.07,1752,194.67,1810,185.39,1873,190.47,1979,254.78
nar-mem-133,1673,256.41,1770,274.94,2024,179.5,1588,139.36,1631,259.7,1744,274.5,1823,258.86,1886,245.39,1944,216.2,1989,199.85,2043,182.55,2091,226.13
nar-mem-135,1630,239.16,1755,267.3,1979,192.67,1550,244.43,1652,249.52,1770,263.94,1815,241.68,1854,236.39,1937,201.46,1987,191.51,2041,181.56,2181,191.13
nar-mom-101,1728,199.65,1769,205.28,1840,188.96,1545,198.55,1669,204.64,1739,200.5,1821,198.1,1876,201.3,1944,174.6,1987,169.43,2062,81.67,2136,86.28
nar-mom-102,1698,189.25,1812,217,2016,165.4,1558,190.36,1650,190.17,1770,207.51,1840,213.13,1882,204.62,1977,174.5,2046,162.46,2133,148.46,2240,271.1
nar-mom-103,1828,238.1,1916,246.64,2117,190.47,1715,228.89,1814,241.1,1929,243.95,1985,241.8,2017,238.67,2106,194.83,2152,90.17,2223,83.55,2321,84.07
nar-mom-104,2042,240.3,2182,277.74,2326,209.09,2017,150.01,2059,245.92,2136,263.82,2194,276.37,2236,271.6,2307,213.64,2355,196.6,2418,104.22,2472,62.49
nar-mom-105,2131,241.13,2272,272.8,2355,224.2,1944,233.88,2053,242.93,2169,254.69,2238,263.95,2288,265.14,2378,224.47,2434,256,2505,283.62,2610,234.06
nar-mom-106,2114,187.59,2207,205.24,2387,178.25,1911,195.46,2066,185.81,2186,202.7,2255,195.03,2313,209.88,2463,192.86,2530,121.82,2599,222.35,2692,215.08
nar-mom-107,1393,226.22,1602,267.54,1737,201.46,1322,228.29,1451,242.87,1538,258.92,1605,262.15,1664,245.79,1733,202.08,1794,192.91,1870,251.39,1931,220.2
nar-mom-109,1694,236.45,1816,277,2025,179.89,1627,238.39,1707,237.29,1821,276.42,1863,256.59,1906,265.84,2030,176.21,2077,464.61,2153,376.39,2240,78.07666667
nar-mom-111,2276,211.12,2383,233.26,2497,207.18,2102,220.05,2210,213.58,2354,228.01,2472,220.62,2560,225.32,2672,201.53,2713,181.84,2761,110.17,2830,114.94
nar-mom-115,2837,283.73,2987,305.63,3174,244.32,2717,289.56,2795,284.5,2944,302.56,3023,297.84,3085,281.62,3172,244.48,3230,237.18,3304,223.64,3448,240.8
nar-mom-117,1832,176.51,1908,181.4,2031,163.94,1736,216.48,1792,181.27,1873,178.56,1931,179.47,1986,184.82,2046,162.09,2083,161.69,2170,83.1,2283,188.33
nar-mom-119,1883,246.53,2042,279.87,2335,200.14,1830,244.93,1933,265.68,2062,276.28,2113,266.77,2154,253.09,2296,212.25,2351,133.8,2401,80.14,2514,200.04
nar-mom-121,1862,268.27,1994,297.05,2234,216.54,1824,282.58,1883,282.77,2011,292.76,2057,292.73,2091,275.82,2189,228.09,2218,220.46,2259,200,2384,190.04
nar-mom-123,1409,191.77,1519,223.28,1679,183.43,1259,201.07,1347,193.54,1453,206.4,1522,223.25,1577,203.88,1610,192.88,1654,188.02,1703,232.73,1851,237.44
nar-mom-125,1798,213.28,1915,229.12,2138,161.06,1664,217.81,1772,214.51,1855,220.92,1922,224.86,1981,239.66,2053,184.84,2094,175.67,2167,227.14,2249,238.89
nar-mom-127,1878,215.9,1983,227.87,2180,186.85,1713,211.49,1816,218.04,1948,223.79,2025,224.43,2082,225.28,2206,185.1,2266,184.62,2344,168.94,2487,232.75
nar-mom-129,1800,222.42,1955,269.52,2159,200.54,1698,214.41,1817,233.76,1897,253.14,1989,265.35,2040,263.88,2141,205.11,2186,194.73,2276,231.14,2385,231.02
nar-mom-131,1546,229.41,1635,241.67,1795,194.66,1390,233.4,1498,234.07,1603,235.59,1657,240.07,1705,229.84,1772,198.7,1824,188.39,1907,180,2001,172.19
nar-mom-133,1866,282.45,2067,334.88,2401,177.89,1822,277.57,1949,305.58,2083,332.58,2150,312.01,2200,300.03,2308,240.37,2350,213.29,2411,180.46,2465,159.4
nar-mom-135,1754,232.57,1879,266.04,2134,187.52,1659,232.76,1775,240.15,1895,261.94,1937,260.02,1980,252.1,2114,191.29,2151,183.43,2201,166.02,2322,205.86
nar-mun-101,1456,193.91,1638,204.83,1758,173.17,1404,197.75,1501,202.72,1588,202.2,1649,203.7,1708,191.22,1793,171.75,1837,169.82,1891,169.29,1973,173.17
nar-mun-102,1670,187.38,1785,214.3,1993,162.16,1454,175.49,1581,179.72,1721,202.02,1792,214.32,1851,204.7,1990,162.66,2061,152.27,2170,149.08,2350,102.64
nar-mun-103,1973,240.17,2078,253.76,2255,185.18,1912,267.84,1947,247,2062,253.16,2104,243.98,2138,239.7,2262,184.3,2296,179.15,2359,169.54,2465,165.76
nar-mun-104,1764,247.28,1905,292.07,1983,210.75,1594,257.98,1720,242.72,1793,262.91,1853,283.92,1909,294.88,1990,207.75,2027,199.85,2081,100,2134,76.82
nar-mun-105,2220,228.15,2407,273.32,2612,205.31,2020,254.38,2182,229.69,2273,243.53,2407,273.41,2509,258.24,2593,209.74,2640,201.48,2726,244.28,2819,267.21
nar-mun-106,1790,189.24,1877,209.84,2008,187.92,1641,198.4,1758,188.15,1868,208.93,1921,201.99,1964,206.03,2120,94.72,2162,90.69,2224,100.17,2279,98.17
nar-mun-107,1217,229.1,1345,275.42,1491,211.53,1189,238.2,1219,229.33,1305,268.31,1372,261.48,1430,274.26,1511,208.33,1567,198.65,1633,94.14,1739,227.91
nar-mun-109,1887,227.03,2078,271.37,2248,189.9,1847,226.61,1965,237.91,2070,270.91,2124,256.23,2181,237.1,2292,188.5,2341,135.37,2416,187.53,2522,249.19
nar-mun-111,1642,206.52,1751,242.72,1931,207.29,1517,203.77,1594,206.03,1708,231.15,1760,241.1,1805,264.16,1934,207.05,1986,205.89,2039,249.28,2119,284.7
nar-mun-115,2243,268.82,2382,290.77,2520,236.26,2090,266.83,2183,268.96,2273,278.05,2352,288.41,2428,281.66,2520,236.32,2558,234.09,2626,221.09,2741,233.28
nar-mun-117,3423,159.78,3554,174.22,3665,138.39,3270,192.67,3353,162.94,3453,163.25,3515,170.88,3565,172.25,3627,146.36,3674,136.51,3754,116.02,3888,88.01
nar-mun-119,2062,275.37,2224,299.34,2365,216.04,1924,256.61,2049,276.06,2173,291.33,2233,298.97,2292,279.56,2483,203.12,2533,198.61,2601,227.02,2686,226.59
