cn,en
        第二条     本法所称合同是平等主体的自然人、法人、其他组织之间设立、变更、终止民事权利义务关系的协议。婚姻、收养、监护等有关身份关系的协议，适用其他法律的规定。,"Article 2 A contract in this Law refers to an agreement establishing, modifying and terminating the civil rights and obligations between subjects of equal footing, that is, between natural persons, legal persons or other organizations. Agreements involving personal status relationship such as on matrimony, adoption, guardianship, etc. Shall apply the provisions of other Laws. "
        第三条     合同当事人的法律地位平等，一方不得将自己的意志强加给另一方。,Article 3 The parties to contract shall have equal legal status. No party may impose its will on the other party. 
        第四条     当事人依法享有自愿订立合同的权利，任何单位和个人不得非法干预。,Article 4 The parties shall have the rights to be voluntary to enter into a contract in accordance with the law. No unit or individual may illegally interfere. 
        第五条     当事人应当遵循公平原则确定各方的权利和义务。,Article 5 The parties shall abide by the principle of fairness in defining the rights and obligations of each party. 
        第六条     当事人行使权利、履行义务应当遵循诚实信用原则。,"Article 6 The parties must act in accordance with the principle of good faith, no matter in exercising rights or in performing obligations. "
        第七条     当事人订立、履行合同，应当遵守法律、行政法规，尊重社会公德，不得扰乱社会经济秩序，损害社会公共利益。,"Article 7 In concluding and performing a contract, the parties shall abide by the laws and administrative regulations, observe social ethics. Neither party may disrupt the socio-economic order or damage the public interests. "
        第八条     依法成立的合同，对当事人具有法律约束力。当事人应当按照约定履行自己的义务，不得擅自变更或者解除合同。依法成立的合同，受法律保护。,"Article 8 As soon as a contract is established in accordance with the law, it shall be legally binding on the parties. The parties shall perform their respective obligations in accordance with the terms of the contract. Neither party may unilaterally modify or rescind the contract. The contract established according to law shall be under the protection of law. "
          第二章     合同的订立, Chapter II Making of the Contract
        第九条     当事人订立合同，应当具有相应的民事权利能力和民事行为能力。当事人依法可以委托代理人订立合同。,"Article 9 In concluding a contract, the parties shall have appropriate civil capacity of right and civil capacity of conduct. The parties may conclude a contract through an agent in accordance with the law. "
        第十条     当事人订立合同，有书面形式、口头形式和其他形式。法律、行政法规规定采用书面形式的，应当采用书面形式。当事人约定采用书面形式的，应当采用书面形式。,"Article 10 The parties may conclude a contract in written, oral or other forms. Where the laws or administrative regulations require a contract to be concluded in written form, the contract shall be in written form. If the parties agree to do so, the contract shall be concluded in written form. "
        第十一条     书面形式是指合同书、信件和数据电文（包括电报、电传、传真、电子数据交换和电子邮件）等可以有形地表现所载内容的形式。,"Article 11 The written forms mean the forms which can show the described contents visibly, such as a written contractual agreement, letters, and data-telex (including telegram, telex, fax, EDI and e-mails). "
        第十二条     合同的内容由当事人约定，一般包括以下条款：,"Article 12 The contents of a contract shall be agreed upon by the parties, and shall contain the following clauses in general:"
        （一）当事人的名称或者姓名和住所；,(1) title or name and domicile of the parties;
        （二）标的；,(2) contract object;
        （三）数量；,(3) quantity;
        （四）质量；,(4) quality;
        （五）价款或者报酬；,(5) price or remuneration;
        （六）履行期限、地点和方式；,"(6) time limit, place and method of performance;"
        （七）违约责任；,(7) liability for breach of contract; and
        （八）解决争议的方法。,(8) methods to settle disputes. 
        当事人可以参照各类合同的示范文本订立合同。,The parties may conclude a contract by reference to the model text of each kind of contract. 
        第十三条     当事人订立合同，采取要约、承诺方式。,Article 13 The parties shall conclude a contract in the form of an offer and acceptance. 
        第十四条     要约是希望和他人订立合同的意思表示，该意思表示应当符合下列规定：,Article 14 An offer is a proposal hoping to enter into a contract with other parties. The proposal shall comply with the following stipulations: 
        （一）内容具体确定；,(1) Its contents shall be detailed and definite; 
        （二）表明经受要约人承诺，要约人即受该意思表示约束。,(2) It indicates the proposal of the offeror to be bound in case of acceptance. 
        第十五条     要约邀请是希望他人向自己发出要约的意思表示。寄送的价目表、拍卖公告、招标公告、招股说明书、商业广告等为要约邀请。商业广告的内容符合要约规定的，视为要约。,"Article 15 An invitation for offer is a proposal for requesting other parties to make offers to the principal. Price forms mailed, public notices of auction and tender, prospectuses and commercial advertisements, etc. Are invitations for offer. Where the contents of a commercial advertisement comply with the terms of the offer, it may be regarded as an offer. "
        第十六条     要约到达受要约人时生效。采用数据电文形式订立合同，收件人指定特定系统接收数据电文的，该数据电文进入该特定系统的时间，视为到达时间；未指定特定系统的，该数据电文进入收件人的任何系统的首次时间，视为到达时间。,"Article 16 An offer becomes effective when it reaches the offeree. If a contract is concluded by means of data-telex, and recipient appoints a specific system to receive the data-telex, the time when the data-telex enters the system shall be the time of arrival; if no specific system is appointed, the time when the data-telex first enters any of the recipient's systems shall be regarded as the time of arrival. "
        第十七条     要约可以撤回。撤回要约的通知应当在要约到达受要约人之前或者与要约同时到达受要约人。,"Article 17 An offer may be withdrawn, if the withdrawal notice reaches the offeree before or at the same time when the offer arrives. "
        第十八条     要约可以撤销。撤销要约的通知应当在受要约人发出承诺通知之前到达受要约人。,"Article 18 An offer may be revoked, if the revocation reaches the offeree before it has dispatched an acceptance. "
        第十九条     有下列情形之一的，要约不得撤销：,"Article 19 An offer may not be revoked, if "
        （一）要约人确定了承诺期限或者以其他形式明示要约不可撤销；,(1) the offeror indicates a fixed time for acceptance or otherwise explicitly states that the offer is irrevocable; or 
        （二）受要约人有理由认为要约是不可撤销的，并已经为履行合同作了准备工作。,(2) he offeree has reasons to rely on the offer as being irrevocable and has made preparation for performing the contract. 
        第二十条     有下列情形之一的，要约失效：,Article 20 An offer shall be null and void under any of the following circumstances: 
        (一)拒绝要约的通知到达要约人；,(1) The notice of rejection reaches the offeror; 
        (二)要约人依法撤销要约；,(2) The offeror revokes its offer in accordance with the law; 
        (三)承诺期限届满，受要约人未作出承诺；,(3) The offeree fails to make an acceptance at the time when the time limit for acceptance expires; 
        (四)受要约人对要约的内容作出实质性变更。,(4) The offeree substantially alters the contents of the offer. 
        第二十一条     承诺是受要约人同意要约的意思表示。,Article 21 An acceptance is a statement made by the offeree indicating assent to an offer. 
        第二十二条     承诺应当以通知的方式作出，但根据交易习惯或者要约表明可以通过行为作出承诺的除外。,"Article 22 Except that it is based on transaction practices or that the offer indicates an acceptance may be made by performing an act, the acceptance shall be made by means of notice. "
        第二十三条     承诺应当在要约确定的期限内到达要约人。要约没有确定承诺期限的，承诺应当依照下列规定到达：,"Article 23 An acceptance shall reach the offeror within the time limit fixed in the offer. Where no time is fixed in the offer, the acceptance shall arrive in accordance with the following provisions: "
        （一）要约以对话方式作出的，应当即时作出承诺，但当事人另有约定的除外；,"(1) If the offer is made in dialogues, the acceptance shall be made immediately except as otherwise agreed upon by the parties; "
        （二）要约以非对话方式作出的，承诺应当在合理期限内到达。,"(2) If the offer is made in forms other than a dialogue, the acceptance shall arrive within a reasonable period of time. "
        第二十四条     要约以信件或者电报作出的，承诺期限自信件载明的日期或者电报交发之日开始计算。信件未载明日期的，自投寄该信件的邮戳日期开始计算。要约以电话、传真等快速通讯方式作出的，承诺期限自要约到达受要约人时开始计算。,"Article 24 Where the offer is made in a letter or a telegram, the time limit for acceptance commences from the date shown in the letter or from the moment the telegram is handed in for dispatch. If no such date is shown in the letter, it commences from the date shown on the envelope. Where an offer is made by means of instantaneous communication, such as telephone or facsimile, the time limit for acceptance commences from the moment that the offer reaches the offeree. "
        第二十五条     承诺生效时合同成立。,Article 25 A contract is established when the acceptance becomes effective. 
        第二十六条     承诺通知到达要约人时生效。承诺不需要通知的，根据交易习惯或者要约的要求作出承诺的行为时生效。采用数据电文形式订立合同的，承诺到达的时间适用本法第十六条第二款的规定。,"Article 26 An acceptance becomes effective when its notice reaches the offeror. If an acceptance needn't be notified, it becomes effective when an act of acceptance is performed in accordance with transaction practices or as required in the offer. Where a contract is concluded in the form of data-telex, the time when an acceptance arrives shall apply the provisions of Paragraph 2, Article 16 of this law. "
        第二十七条     承诺可以撤回。撤回承诺的通知应当在承诺通知到达要约人之前或者与承诺通知同时到达要约人。,"Article 27 An acceptance may be withdrawn, but a notice of withdrawal shall reach the offeror before the notice of acceptance reaches the offeror or at the same time when the acceptance reaches the offeror. "
        第二十八条     受要约人超过承诺期限发出承诺的，除要约人及时通知受要约人该承诺有效的以外，为新要约。,"Article 28 Where an offeree makes an acceptance beyond the time limit for acceptance, the acceptance shall be a new offer except that the offeror informs the offeree of the effectiveness of the said acceptance promptly. "
        第二十九条     受要约人在承诺期限内发出承诺，按照通常情形能够及时到达要约人，但因其他原因承诺到达要约人时超过承诺期限的，除要约人及时通知受要约人因承诺超过期限不接受该承诺的以外，该承诺有效。,"Article 29 If the offeree dispatches the acceptance within the time limit for acceptance which can reach the offeror in due time under normal circumstances, but the acceptance reaches the offeror beyond the time limit because of other reasons, the acceptance shall be effective, except that, the offeror informs the offeree promptly that it does not accept the acceptance because it exceeds the time limit for acceptance. "
        第三十条     承诺的内容应当与要约的内容一致。受要约人对要约的内容作出实质性变更的，为新要约。有关合同标的、数量、质量、价款或者报酬、履行期限、履行地点和方式、违约责任和解决争议方法等的变更，是对要约内容的实质性变更。,"Article 30 The contents of an acceptance shall comply with those of the offer. If the offeree substantially modifies the contents of the offer, it shall constitute a new offer. The modification relating to the contract object, quality, quantity, price or remuneration, time or place or method of performance, liabilities for breach of contract and the settlement of disputes, etc., shall constitute the substantial modification of an offer. "
        第三十一条     承诺对要约的内容作出非实质性变更的，除要约人及时表示反对或者要约表明承诺不得对要约的内容作出任何变更的以外，该承诺有效，合同的内容以承诺的内容为准。,"Article 31 If the acceptance does not substantially modifies the contents of the offer, it shall be effective, and the contents of the contract shall be subject to those of the acceptance, except as rejected promptly by the offeror or indicted in the offer that an acceptance may not modify the offer at all. "
        第三十二条     当事人采用合同书形式订立合同的，自双方当事人签字或者盖章时合同成立。,"Article 32 Where the parties conclude a contract in written form, the contract is established when both parties sign or affix a seal on it. "
        第三十三条     当事人采用信件、数据电文等形式订立合同的，可以在合同成立之前要求签订确认书。签订确认书时合同成立。,"Article 33 Where the parties conclude the contract in the form of a letter or data-telex, etc., one party may request to sign a letter of confirmation before the conclusion of the contract. The contract shall be established at the time when the letter of confirmation is signed. "
        第三十四条     承诺生效的地点为合同成立的地点。采用数据电文形式订立合同的，收件人的主营业地为合同成立的地点；没有主营业地的，其经常居住地为合同成立的地点。当事人另有约定的，按照其约定。,"Article 34 The place of effectiveness of an acceptance shall be the place of the establishment of the contract. If the contract is concluded in the form of data-telex, the main business place of the recipient shall be the place of establishment. If no main business place, its habitual residence shall be considered to be the place of establishment. Where the parties agree otherwise, the place of establishment shall be subject to that agreement. "
        第三十五条     当事人采用合同书形式订立合同的，双方当事人签字或者盖章的地点为合同成立的地点。,"Article 35 Where the parties conclude a contract in written form, the place where both parties sign or affix a seal shall be the place where the contract is established. "
        第三十六条     法律、行政法规规定或者当事人约定采用书面形式订立合同，当事人未采用书面形式但一方已经履行主要义务，对方接受的，该合同成立。,"Article 36 A contract, which shall be concluded in written form as provided for by the laws and administrative regulations or as agreed upon by the parties, shall be established, as the parties do not use the written form, but one party has performed the principal obligation and the other party has received it. "
        第三十七条     采用合同书形式订立合同，在签字或者盖章之前，当事人一方已经履行主要义务，对方接受的，该合同成立。,"Article 37 A contract, which is concluded in written form, shall be established, if one party has performed its principal obligation and the other party has received it before signiture or affixing with a seal. "
        第三十八条     国家根据需要下达指令性任务或者国家订货任务的，有关法人、其他组织之间应当依照有关法律、行政法规规定的权利和义务订立合同。,"Article 38 In case the State issues a mandatory plan or a State purchasing order task based on necessity, the relevant legal persons or other organizations shall conclude contracts between them in accordance with the rights and obligations as stipulated by the relevant laws and administrative regulations. "
        第三十九条     采用格式条款订立合同的，提供格式条款的一方应当遵循公平原则确定当事人之间的权利和义务，并采取合理的方式提请对方注意免除或者限制其责任的条款，按照对方的要求，对该条款予以说明。格式条款是当事人为了重复使用而预先拟定，并在订立合同时未与对方协商的条款。,"Article 39 Where standard terms are adopted in concluding a contract, the party which supplies the standard terms shall define the rights and obligations between the parties abiding by the principle of faimess, request the other party to note the exclusion or restriction of its liabilities in reasonable ways, and explain the standard terms according to the requirement of the other party. Standard terms are clauses which are prepared in advance for general and repeated use by one party and which are not negotiated with the other party in concluding a contract. "
        第四十条     格式条款具有本法第五十二条和第五十三条规定情形的，或者提供格式条款一方免除其责任、加重对方责任、排除对方主要权利的，该条款无效。,"Article 40 When standard terms are under the circumstances stipulated in Article 52 and Article 53 of this Law, or the party which supplies the standard terms exempts itself from its liabilities, weights the liabilities of the other party, and excludes the rights of the other party, the terms shall be null and void. "
        第四十一条     对格式条款的理解发生争议的，应当按照通常理解予以解释。对格式条款有两种以上解释的，应当作出不利于提供格式条款一方的解释。格式条款和非格式条款不一致的，应当采用非格式条款。,"Article 41 If a dispute over the understanding of the standard terms occurs, it shall be interpreted according to general understanding. Where there are two or more kinds of interpretation, an interpretation unfavourable to the party supplying the standard terms shall be preferred. Where the standard terms are inconsistent with non-standard terms, the latter shall be adopted. "
        第四十二条     当事人在订立合同过程中有下列情形之一，给对方造成损失的，应当承担损害赔偿责任：,Article 42 The party shall be liable for damages if it is under one of the following circumstances in concluding a contract and thus causing losses to the other party: 
        （一）假借订立合同，恶意进行磋商；,"(1) disguising and pretending to conclude a contract, and negotiating in bad faith; "
        （二）故意隐瞒与订立合同有关的重要事实或者提供虚假情况；,(2) concealing deliberately the important facts relating to the conclusion of the contract or providing deliberately false information; 
        （三）有其他违背诚实信用原则的行为。,(3) performing other acts which violate the principle of good faith. 
        第四十三条     当事人在订立合同过程中知悉的商业秘密，无论合同是否成立，不得泄露或者不正当地使用。泄露或者不正当地使用该商业秘密给对方造成损失的，应当承担损害赔偿责任。,"Article 43 A business secret the parties learn in concluding a contract shall not be disclosed or unfairly used, not matter the contract is established or not. The party who causes the other party to suffer from losses due to disclosing or unfairly using the business secret shall be liable for damages."
          第三章     合同的效力, Chapter III Validity of the Contract
        第四十四条     依法成立的合同，自成立时生效。法律、行政法规规定应当办理批准、登记等手续生效的，依照其规定。,"Article 44 The contract established according to law becomes effective when it is established. With regard to contracts which are subject to approval or registration as provide for by the laws or administrative regulations, the provisions thereof shall be followed. "
        第四十五条     当事人对合同的效力可以约定附条件。附生效条件的合同，自条件成就时生效。附解除条件的合同，自条件成就时失效。当事人为自己的利益不正当地阻止条件成就的，视为条件已成就；不正当地促成条件成就的，视为条件不成就。,Article 45 The parties may agree on some collateral conditions relating to the effectiveness of a contract. The contract with entry-into-force conditions shall be effective when such conditions are accomplished. The contract with dissolving conditions shall be null and void when such conditions are accomplished. To unfairly prevent the conditions from being accomplished by one party for its own interests shall be regarded as those conditions have been accomplished. To unfairly promoting the accomplishment of such conditions by one party shall be regarded as non-accomplishment. 
        第四十六条     当事人对合同的效力可以约定附期限。附生效期限的合同，自期限届至时生效。附终止期限的合同，自期限届满时失效。,Article 46 The parties may agree on a conditional time period as to the effectiveness of the contract. A contract subject to an effective time period shall come into force when the period expires. A contract with termination time period shall become invalid when the period expires. 
        第四十七条     限制民事行为能力人订立的合同，经法定代理人追认后，该合同有效，但纯获利益的合同或者与其年龄、智力、精神健康状况相适应而订立的合同，不必经法定代理人追认。相对人可以催告法定代理人在一个月内予以追认。法定代理人未作表示的，视为拒绝追认。合同被追认之前，善意相对人有撤销的权利。撤销应当以通知的方式作出。,"Article 47 A contract concluded by a person with limited civil capacity of conduct shall be effective after being ratified afterwards by the person's statutory agent, but a pure profit-making contract or a contract concluded which is appropriate to the person's age, intelligence or mental health conditions need not be ratified by the person's statutory agent. The counterpart may urge the statutory agent to ratify the contract within one month. It shall be regarded as a refusal of ratification that the statutory agent does not make any expression. A bona fide counterpart has the right withdraw it before the contract is ratified. The withdrawal shall be made by means of notice. "
        第四十八条     行为人没有代理权、超越代理权或者代理权终止后以被代理人名义订立的合同，未经被代理人追认，对被代理人不发生效力，由行为人承担责任。相对人可以催告被代理人在一个月内予以追认。被代理人未作表示的，视为拒绝追认。合同被追认之前，善意相对人有撤销的权利。撤销应当以通知的方式作出。,"Article 48 A contract concluded by an actor who has no power of agency, who oversteps the power of agency, or whose power of agency has expired and yet concludes it on behalf of the principal, shall have no legally binding force on the principal without ratification by the principal, and the actor shall be held liable. The counterpart may urge the principal to ratify it within one month. It shall be regarded as a refusal of ratification that the principal does not make any expression. A bona fide counterpart has the right withdraw it before the contract is ratified. The withdrawal shall be made by means of notice. "
        第四十九条     行为人没有代理权、超越代理权或者代理权终止后以被代理人名义订立合同，相对人有理由相信行为人有代理权的，该代理行为有效。,"Article 49 If an actor has no power of agency, oversteps the power of agency, or the power of agency has expired and yet concludes a contract in the principal's name, and the counterpart has reasons to trust that the actor has the power of agency, the act of agency shall be effective. "
        第五十条     法人或者其他组织的法定代表人、负责人超越权限订立的合同，除相对人知道或者应当知道其超越权限的以外，该代表行为有效。,"Article 50 Where a atatutory representative or a responsible person of a legal person or other organization oversteps his/her power and concludes a contract, the representative act shall be effective except that the counterpart knows or ought to know that he/she is overstepping his/her powers. "
        第五十一条     无处分权的人处分他人财产，经权利人追认或者无处分权的人订立合同后取得处分权的，该合同有效。,"Article 51 Where a person having no right to disposal of property disposes of other persons' properties, and the principal ratifies the act afterwards or the person without power of disposal has obtained the power after concluding a contract, the contract shall be valid. "
        第五十二条     有下列情形之一的，合同无效：,Article 52 A contract shall be null and void under any of the following circumstances: 
        （一）一方以欺诈、胁迫的手段订立合同，损害国家利益；,(1) A contract is concluded through the use of fraud or coercion by one party to damage the interests of the State; 
        （二）恶意串通，损害国家、集体或者第三人利益；,(2) Malicious collusion is conducted to damage the interests of the State. A collective or a third party; 
        （三）以合法形式掩盖非法目的；,(3) An illegitimate purpose is concealed under the guise of legitimate acts; 
        （四）损害社会公共利益；,(4) Damaging the public intersts; 
        （五）违反法律、行政法规的强制性规定。,(5) Violating the compulsory provisions of the laws and administrative regulations. 
        第五十三条     合同中的下列免责条款无效：,Article 53 The following immunity clauses in a contract shall be null and void: 
        （一）造成对方人身伤害的；,(1) those that cause personal injury to the other party; 
        （二）因故意或者重大过失造成对方财产损失的。,(2) those that cause property damages to the other party as a result of deliberate intent or gross fault. 
        第五十四条     下列合同，当事人一方有权请求人民法院或者仲裁机构变更或者撤销：,Article 54 A party shall have the right to request the people's court or an arbitration institution to modify or revoke the following contracts: 
        （一）因重大误解订立的；,(1) those concluded as a result of serious misunderstanding; 
        （二）在订立合同时显失公平的。,(2) those that are obviously unfair at the time when concluding the contract. 
        一方以欺诈、胁迫的手段或者乘人之危，使对方在违背真实意思的情况下订立的合同，受损害方有权请求人民法院或者仲裁机构变更或者撤销。,"If a contract is concluded by one party against the other party's true intentions through the use of fraud, coercion or exploitation of the other party's unfavorable position. The injured party shall have the right to request the people's court or an arbitration institution to modify or revoke it. "
        当事人请求变更的，人民法院或者仲裁机构不得撤销。,"Where a party requests for modification, the people's court or the arbitration institution may not revoke the contract. "
        第五十五条     有下列情形之一的，撤销权消灭：,Article 55 The right to revoke a contract sahll extinguish under any of the following circumstances: 
        (一)具有撤销权的当事人自知道或者应当知道撤销事由之日起一年内没有行使撤销权；,(1) A party having the right to revoke the contract fails to exercise the right within one year from the day that it knows or ought to know the revoking causes; 
        (二)具有撤销权的当事人知道撤销事由后明确表示或者以自己的行为放弃撤销权。,(2) A party having the right to revoke the contract explicitly expresses or conducts an act to waive the right after it know the revoking causes. 
        第五十六条     无效的合同或者被撤销的合同自始没有法律约束力。合同部分无效，不影响其他部分效力的，其他部分仍然有效。,"Article 56 A contract that is null and void or revoked shall have no legally binding force ever from the very beginning. If part of a contract is null and void without affecting the validity of the other parts, the other parts shall still be valid. "
        第五十七条     合同无效、被撤销或者终止的，不影响合同中独立存在的有关解决争议方法的条款的效力。,"Article 57 If a contract is null and void, revoked or terminated, it shall not affect the validity of the dispute settlement clause which is independently existing in the contract. "
        第五十八条     合同无效或者被撤销后，因该合同取得的财产，应当予以返还；不能返还或者没有必要返还的，应当折价补偿。有过错的一方应当赔偿对方因此所受到的损失，双方都有过错的，应当各自承担相应的责任。,"Article 58 The property acquired as a result of a contract shall be returned after the contract is confirmed to be null and void or has been revoked. Where the property can not be returned or the return is unnecessary, it shall be reimbursed at its estimated price. The party at fault shall compensate the other party for losses incurred as a result therefrom. If both parties are at fault, each party shall respectively be liable. "
        第五十九条     当事人恶意串通，损害国家、集体或者第三人利益的，因此取得的财产收归国家所有或者返还集体、第三人。,"Article 59 If the parties have maliciously conducted collusion to damage the interests of the State, a collective or a third party, the property thus acpuired shall be turned over to the State or returned to the collective or the third party."
          第四章     合同的履行, Chapter IV Fulfillment of the Contract
"        第六十条     当事人应当按照约定全面履行自己的义务。当事人应当遵循诚实信用原则,根据合同的性质、目的和交易习惯履行通知、协助、保密等义务。","Article 60 The parties shall perform their obligations thoroughly according to the terms of the contract. The parties shall abide by the principle of good faith and perform the obligations of notice, assistance and maintaining confidentiality, etc. Based on the character and purpose of the contract or the transaction practices. "
        第六十一条     合同生效后，当事人就质量、价款或者报酬、履行地点等内容没有约定或者约定不明确的，可以协议补充；不能达成补充协议的，按照合同有关条款或者交易习惯确定。,"Article 61 Where, after the contract becomes effective, there is no agreement in the contract between the parties on the terms regarding quality, price or remuneration and place of performance, etc. Or such agreement is unclear, the parties may agree upon supplementary terms through consultation. In case of a failure in doing so, the terms shall be determined from the context of relevant clauses of the contract or by transaction practices. "
        第六十二条     当事人就有关合同内容约定不明确，依照本法第六十一条的规定仍不能确定的，适用下列规定：,"Article 62 If the relevant terms of a contract are unclear, nor can it be determined according to the provisions of Article 61 of this Law, the provisions below shall be applied: "
        （一）质量要求不明确的，按照国家标准、行业标准履行；没有国家标准、行业标准的，按照通常标准或者符合合同目的的特定标准履行。,"(1) If quality requirements are unclear, the State standards or trade standards shall be applied; if there are no State standards or trade standards, generally held standards or specific standards in conformity with the purpose of the contract shall be applied. "
        （二）价款或者报酬不明确的，按照订立合同时履行地的市场价格履行；依法应当执行政府定价或者政府指导价的，按照规定履行。,"(2) If the price or remuneration is unclear, the market price of the place of performance at the time concluding the contract shall be applied; if the government-fixed price or government-directed price shall be followed in accordance with the law, the provisions of the law shall be applied. "
        （三）履行地点不明确，给付货币的，在接受货币一方所在地履行；交付不动产的，在不动产所在地履行；其他标的，在履行义务一方所在地履行。,"(3) If the place of performance is unclear, and the payment is currency, the performance shall be effected at the place of location of the party receiving the payment; if real estate is to be delivered, the performance shall be effected at the place of location of the real estate; in case of other contract objects, the performance shall be effected at the place of location of the party fulfilling the obligations. "
        （四）履行期限不明确的，债务人可以随时履行，债权人也可以随时要求履行，但应当给对方必要的准备时间。,"(4) If the time limit for performance is unclear, the obligor may at any time fulfill the obligations towards the obligee; the obligee may also demand at any time that the obligor performs the obligations, but a time period for necessary preparation shall be given to the obligor. "
        （五）履行方式不明确的，按照有利于实现合同目的的方式履行。,"(5) If the method of performance is unclear, the method which is advantageous to realize the purpose of the contract shall be adopted. "
        （六）履行费用的负担不明确的，由履行义务一方负担。,(6) if the burden of the expenses of performance is unclear the cost shall be assumed by the obligor. 
        第六十三条     执行政府定价或者政府指导价的，在合同约定的交付期限内政府价格调整时，按照交付时的价格计价。逾期交付标的物的，遇价格上涨时，按照原价格执行；价格下降时，按照新价格执行。逾期提取标的物或者逾期付款的，遇价格上涨时，按照新价格执行；价格下降时，按照原价格执行。,"Article 63 In cases where the government-fixed price or government-directed price is followed in a contract, if the said price is readjusted within the time limit for delivery as stipulated in the contract, the payment shall be calculated according to the price at the time of delivery. If the delivery of the object is delayed and the price has risen, the original price shall be adopted; while the price has dropped, the new price shall be adopted. In the event of delay in taking delivery of the object or late payment, if the price has risen, the new price shall be adopted; while the price has dropped, the original price shall be adopted. "
        第六十四条     当事人约定由债务人向第三人履行债务的，债务人未向第三人履行债务或者履行债务不符合约定，应当向债权人承担违约责任。,"Article 64 Where the parties agree that the obligor performs the obligations to a third party, and the obligor fails to perform the obligations to the third party or the performance does not meet the terms of the contract, the obligor shall be liable to the obligee for the breach of contract. "
        第六十五条     当事人约定由第三人向债权人履行债务的，第三人不履行债务或者履行债务不符合约定，债务人应当向债权人承担违约责任。,"Article 65 Where the parties agree that a third party performs the obligations to the obligee, and the third party fails to perform the obligations or the performance does not meet the terms of the contract, the obligor shall be liable to the obligee for the breach of contract. "
        第六十六条     当事人互负债务，没有先后履行顺序的，应当同时履行。一方在对方履行之前有权拒绝其履行要求。一方在对方履行债务不符合约定时，有权拒绝其相应的履行要求。,"Article 66 If both parties have obligations toward each other and there is no order of priority in respect of the performance of obligation, the parties shall perform the obligations simultaneously. One party has the right reject the other party's request for performance if the other party's performance. One party has the right to reject the other party's corresponding request for performance if the other party's performance does not meet the perms of the contract. "
        第六十七条     当事人互负债务，有先后履行顺序，先履行一方未履行的，后履行一方有权拒绝其履行要求。先履行一方履行债务不符合约定的，后履行一方有权拒绝其相应的履行要求。,"Article 67 Where both parties have obligations towards each other and there has been an order of priority in respect of the performance, and the party which shall render its performance first has not rendered the performance, the party which may render its performance lately has the right to reject the other party's request for performance. Where the party which shall render its performance first violates the terms of a contract while fulfilling the obligations, the party which may render its performance lately has the right to reject the other party's corresponding request for performance. "
        第六十八条     应当先履行债务的当事人，有确切证据证明对方有下列情形之一的，可以中止履行：,"Article 68 One party, which shall render its performance first, may suspend its performance, if it has conclusive evidence that the other party is under any of the following circumstances: "
        （一）经营状况严重恶化；,(1) Its business conditions are seriously deteriorating; 
        （二）转移财产、抽逃资金，以逃避债务；,(2) It moves away its property and takes out its capital secretly to evade debt; 
        （三）丧失商业信誉；,(3) It loses its commercial credibility; 
        （四）有丧失或者可能丧失履行债务能力的其他情形。,(4) Other circumstances showing that it loses or is possible to lose the capacity of credit. 
        当事人没有确切证据中止履行的，应当承担违约责任。,"Where a party suspends performance of a contract without conclusive evidence, it shall be liable for the breach of contract. "
